age,education,income,spending
53,Bachelor,62304,16303.68
43,High School,30880,1154.4
58,Bachelor,73963,20698.15
62,PhD,47156,13414.679999999998
23,Bachelor,55825,4316.5
60,Bachelor,70421,12964.735
30,High School,88458,6211.450000000001
44,High School,67573,8027.19
34,PhD,95920,8318.4
54,High School,54788,10317.58
59,High School,33096,8192.88
39,Master,32823,6656.460000000001
37,High School,71323,10852.92
27,Bachelor,37098,5941.96
26,High School,81298,9651.92
53,PhD,52440,9048.8
57,Master,42895,9572.375
24,PhD,46459,13858.36
34,Bachelor,79336,5090.04
56,PhD,65975,16309.124999999998
34,Bachelor,37155,14857.75
52,High School,50725,16536.25
40,High School,60052,12002.080000000002
31,Bachelor,57925,15896.25
38,Master,24581,11360.335
64,High School,26324,1331.62
44,PhD,63465,2317.3250000000003
53,High School,75148,8878.7
65,Master,25826,1829.13
40,High School,88912,2889.1200000000003
54,Bachelor,97603,19880.15
44,High School,34195,4112.925
25,Bachelor,50324,8412.960000000001
56,PhD,46752,2433.76
51,High School,49951,4949.264999999999
43,High School,52276,5845.52
25,PhD,84339,12051.865
34,High School,92407,8834.244999999999
27,Bachelor,26321,7158.025
42,PhD,98170,17435.949999999997
39,High School,59174,11662.830000000002
50,Master,59808,7196.160000000001
50,Master,58272,13939.52
38,Bachelor,32512,8312.8
